doctor_id,doctor_name,department_id,employment_type
130,Dr. Megan Orr,11,Full Time
131,Dr. Elizabeth Kelley,5,Full Time
132,Dr. Dustin Jordan,12,Full Time
133,Dr. Mary Marshall,1,Full Time
134,Dr. Daniel Kennedy,3,Full Time
135,Dr. Rebecca Jackson,1,Full Time
136,Dr. Jose Schultz,12,Contract
137,Dr. Robert Potter,5,Contract
138,Dr. Courtney Gonzalez,12,Full Time
139,Dr. David Alvarez,8,Full Time
140,Dr. Angel Perry,5,Full Time
141,Dr. Cheyenne Horton,12,Contract
142,Dr. David Douglas Jr.,5,Full Time
143,Dr. Patricia Rodriguez,1,Full Time
144,Dr. Christopher Rubio,2,Full Time
145,Dr. Amber Wright,6,Full Time
146,Dr. Joyce Solis,8,Full Time
147,Dr. Victoria Larson,2,Full Time
148,Dr. Stephanie Salazar,6,Full Time
149,Dr. Kathy Rivas,11,Full Time
150,Dr. Stephanie Manning,10,Part Time
151,Dr. David Wright,1,Full Time
152,Dr. Pamela Boyd,6,Full Time
153,Dr. Denise Jones,10,Part Time
154,Dr. Devon Flores,3,Full Time
155,Dr. Brenda Hall,8,Contract
156,Dr. Michelle Brown,10,Full Time
157,Dr. Joshua Perry,4,Part Time
158,Dr. Jason Stein,1,Full Time
159,Dr. Melissa Gates,12,Contract
160,Dr. Jamie Smith,12,Full Time
161,Dr. Paul Castaneda,7,Full Time
162,Dr. Jennifer Adkins,3,Full Time
163,Dr. Lindsey Walker,6,Full Time
164,Dr. Jeffrey Johnson,6,Full Time
165,Dr. Michael Powell,10,Part Time
166,Dr. John Anderson,6,Full Time
167,Dr. Alyssa Long,5,Full Time
168,Dr. Alyssa Day,5,Full Time
169,Dr. Joel Williams,12,Full Time
170,Dr. Daniel Murphy,4,Part Time
171,Dr. Jamie Walton,4,Full Time
172,Dr. Darlene Miller,3,Full Time
173,Dr. Joshua Cooke,4,Full Time
174,Dr. Matthew Harrington,2,Full Time
175,Dr. Nicole Herring,3,Part Time
176,Dr. Alex Hernandez,3,Full Time
177,Dr. Michael Elliott,7,Full Time
178,Dr. Michael Wang,10,On-Call
179,Dr. Lawrence Adkins,7,Full Time
180,Dr. Robert Oconnell,12,Full Time
181,Dr. Alexander Collins,10,Contract
182,Dr. Tina Sanders,2,Full Time
183,Dr. Angela Vaughn,6,Part Time
184,Dr. Ashley Barton,8,Contract
185,Dr. Lindsay Martinez,1,On-Call
186,Dr. Dr. Hannah Patterson,7,Full Time
187,Dr. Jonathan Peterson,5,Full Time
188,Dr. Samantha Garcia,7,Full Time
189,Dr. Madison Poole,10,Full Time
190,Dr. Jessica Gross,5,Full Time
191,Dr. Debra Morton,12,Full Time
192,Dr. Karen Graham,1,Full Time
193,Dr. Debra Christian,4,Full Time
194,Dr. Angelica Keith,10,Part Time
195,Dr. John Bishop,5,Full Time
196,Dr. Allen Rosales,1,Full Time
197,Dr. Daniel Salinas,5,Full Time
198,Dr. Spencer Haynes,10,Contract
199,Dr. Adam Vaughan,4,Full Time
200,Dr. Nathan Freeman,10,Full Time
201,Dr. Melissa Brewer,10,Full Time
202,Dr. Ricky Davis II,8,Full Time
203,Dr. Elizabeth Perkins,4,Full Time
204,Dr. Joseph Coleman,7,Contract
205,Dr. Erin Warner,12,Full Time
206,Dr. David Martinez,11,Part Time
207,Dr. Bryan Herrera,12,Full Time
208,Dr. Cathy Robinson,12,Full Time
209,Dr. Dr. William Warren,3,Part Time
210,Dr. Brian Lee,12,Full Time
211,Dr. Christopher Smith,1,Full Time
212,Dr. Denise Mccann,11,Full Time
213,Dr. Melissa Martinez,12,Full Time
214,Dr. Katherine Salas,2,Full Time
215,Dr. Julie Alexander,2,Full Time
216,Dr. Anthony Everett,1,Full Time
217,Dr. Rodney Morales,10,Full Time
218,Dr. Mark Brown,2,Full Time
219,Dr. Justin Torres,7,Full Time
220,Dr. Bailey Duran DDS,5,Full Time
221,Dr. Courtney Mills,11,Contract
222,Dr. Jeremy Dalton,4,Full Time
223,Dr. Elizabeth Oliver DDS,9,Full Time
224,Dr. Theresa Clark,5,Part Time
225,Dr. Matthew Moore,3,On-Call
226,Dr. Benjamin Smith,4,Full Time
227,Dr. Kirk Carter,7,Full Time
228,Dr. Michael Warner,7,Contract
229,Dr. Michael Bradshaw,5,Full Time
230,Dr. Lori Guerrero,7,Part Time
231,Dr. Jessica Stephens,9,Full Time
232,Dr. Susan Serrano,1,Full Time
233,Dr. Christopher Parker,4,Part Time
234,Dr. Laura Roberts,6,Full Time
235,Dr. Michael Lyons,3,Full Time
236,Dr. Kathryn Snyder,12,On-Call
237,Dr. Andrew Reynolds,3,Full Time
238,Dr. David Davis,7,On-Call
239,Dr. Sara Johnston,4,Full Time
240,Dr. Yvonne Chambers,5,Full Time
241,Dr. Andrew Avila,12,Full Time
242,Dr. Matthew Moon,11,Full Time
243,Dr. Kevin Walters,5,Part Time
244,Dr. Brandon Bailey MD,9,Full Time
245,Dr. Shannon Rivera,5,Full Time
246,Dr. Donna Landry,7,On-Call
247,Dr. Krista Gibson,10,Full Time
248,Dr. Frank Cordova,7,Full Time
249,Dr. Jose Travis,11,Full Time
250,Dr. Kimberly Gutierrez,12,Full Time
251,Dr. Isaiah Avila,10,Full Time
252,Dr. Olivia Harris,6,Full Time
253,Dr. Tanya Kim,8,Full Time
254,Dr. Barbara Dudley,2,Contract
255,Dr. Cynthia Moore,2,Full Time
256,Dr. Kristen Davis,5,Full Time
257,Dr. Susan Murray MD,8,Full Time
258,Dr. Kathleen Moran,1,Contract
259,Dr. Denise Davenport,1,Contract
260,Dr. Mrs. Kristen Reyes,9,Full Time
261,Dr. Katie Suarez,4,Full Time
262,Dr. Desiree Tyler,3,Part Time
263,Dr. Timothy Romero,6,Part Time
264,Dr. Diane Evans,10,Contract
265,Dr. Yvonne Burns,7,Full Time
266,Dr. Joshua Reed,2,Full Time
267,Dr. Kimberly Gibson,10,Part Time
268,Dr. Colin Terry,8,Full Time
269,Dr. Cynthia Rowe,9,Part Time
270,Dr. Patrick Thornton,3,Full Time
271,Dr. Jasmin Alvarado,9,Full Time
272,Dr. Veronica Simpson,1,Full Time
273,Dr. Jonathan Lawrence,1,Full Time
274,Dr. Shelly Alexander,6,Part Time
275,Dr. Joyce Bowen,5,Full Time
276,Dr. Matthew Moore,5,On-Call
277,Dr. Wayne Morgan,5,Full Time
278,Dr. Marie Christian,3,On-Call
279,Dr. Shannon James,2,Full Time
280,Dr. Nathan Malone,1,Full Time
281,Dr. Amanda Jones,1,Full Time
282,Dr. Tammie Bright,6,Full Time
283,Dr. Jessica Garcia,7,Full Time
284,Dr. Shelia Wallace,12,On-Call
285,Dr. Stephanie Williams,8,Full Time
286,Dr. Elaine Brooks,8,Full Time
287,Dr. Joseph Knight,8,Full Time
288,Dr. Carolyn Miller,4,Full Time
289,Dr. Lisa Allen,10,Full Time
290,Dr. Briana Murray,12,Full Time
291,Dr. David Smith,9,Full Time
292,Dr. Stephanie Byrd,11,Full Time
293,Dr. Jeremy Reed,1,Full Time
294,Dr. Margaret Coleman,5,Part Time
295,Dr. Ryan Gonzalez,12,Full Time
296,Dr. John Young,3,Part Time
297,Dr. Laura Haney,2,Full Time
298,Dr. William Barrett,5,Full Time
299,Dr. Keith Jennings,2,Full Time
300,Dr. Amber Obrien,2,Full Time
301,Dr. Tanner Mitchell DDS,5,Full Time
302,Dr. Heather Fields,1,Part Time
303,Dr. Megan Le,2,On-Call
304,Dr. Sara Fuller,1,Full Time
305,Dr. Maria Parker,10,Full Time
306,Dr. Kevin Oconnor,6,Part Time
307,Dr. Edward Burgess,1,Part Time
308,Dr. Carlos Ryan,2,Full Time
309,Dr. Kiara Mcintyre,1,Full Time
310,Dr. Dawn Summers,7,Contract
311,Dr. Dr. Paul Morgan,1,Full Time
312,Dr. Victor Taylor,5,On-Call
313,Dr. Shannon Ramsey,5,Full Time
314,Dr. Tracy Ballard,5,Contract
315,Dr. Richard Smith,10,Full Time
316,Dr. Jordan Chambers,5,Full Time
317,Dr. Lauren Carson,1,On-Call
318,Dr. Ashley Hall,4,Full Time
319,Dr. Stephen Hoffman,1,Part Time
320,Dr. Connie Brown,2,Full Time
321,Dr. Susan Turner,8,Full Time
322,Dr. Charles Shah,10,Full Time
323,Dr. Johnathan Davis,6,Part Time
324,Dr. Brandy Chavez,2,Contract
325,Dr. Natalie Bautista,6,On-Call
326,Dr. Patrick Moore,11,Full Time
327,Dr. Brett Burns,7,Part Time
328,Dr. Trevor Johnson,5,Full Time
329,Dr. Jeremy Sampson,11,Full Time
330,Dr. Ariana Jennings,6,Full Time
331,Dr. Vanessa Howard,2,Full Time
332,Dr. Colton Martinez,2,Full Time
333,Dr. Jordan Bates,11,Full Time
334,Dr. Linda Smith,2,Full Time
335,Dr. Dana Martinez,6,Full Time
336,Dr. Andrea Hubbard,12,Full Time
337,Dr. Daniel Kane,10,Contract
338,Dr. Charles Lester,5,Part Time
339,Dr. Scott Thomas,10,Contract
340,Dr. David Thompson,10,Part Time
341,Dr. Allison Smith,4,Full Time
342,Dr. Cynthia Morris,2,Full Time
343,Dr. Anthony Harmon,2,Full Time
344,Dr. Nichole Alvarez,11,Full Time
345,Dr. Kayla Rodriguez,11,Full Time
346,Dr. Theresa Williams,9,Full Time
347,Dr. Sharon Boyd,11,Full Time
348,Dr. Victor Brown,8,Full Time
349,Dr. James Parks,4,Full Time
350,Dr. Theodore Jones Jr.,3,Contract
